title,url,text,dead,by,score,time,timestamp,type,id,parent,descendants,ranking,deleted
,,"I agree.  I’m curious for those who are still there, what percentage is looking for new job.<p>It’s like he is deliberately sabotaging",,pcurve,,1668512989,2022-11-15 11:49:49 UTC,comment,33608028,33607687,,,
,,"The shovel-seller isn&#x27;t necessarily also a prospector.  They do, however, make a lot of money off of prospectors, whether any gold gets ultimately found or not.<p>But, when the gold rush is over, the shovel-seller may have to do big layoffs.",,rossdavidh,,1668550531,2022-11-15 22:15:31 UTC,comment,33615849,33601067,,,
,,"NYT can&#x27;t convict him for crimes until the courts do. Otherwise, they may be sued for libel.",,acchow,,1668550521,2022-11-15 22:15:21 UTC,comment,33615846,33613492,,,
,,tar -cvzf - docs| gpg -c &gt; docs.tar.gz.gpg,,theCrowing,,1668550523,2022-11-15 22:15:23 UTC,comment,33615847,33615785,,,
,,"he&#x27;s a former M&amp;A advisor at Goldman Sachs, so he has a lot of background and knowledge in everything he writes about.",,shaklee3,,1668494888,2022-11-15 06:48:08 UTC,comment,33606059,33600223,,,
,,"I can see the milky way beautifully from where I live, if that is ruined by corporations I’m not sure what I will do",,dathos,,1668494839,2022-11-15 06:47:19 UTC,comment,33606058,33605972,,,
,,"Only if you replace &quot;and&quot; with &quot;or&quot;.<p>Besides, nobody hoards wealth. It&#x27;s all invested.",,WalterBright,,1668494784,2022-11-15 06:46:24 UTC,comment,33606051,33602946,,,
,,"Mobile Notifications, better controls. Also native code means better performance.<p>Also nobody uninstalls apps, so you have access to notifications permanently. It is the only unhindered marketing channel, especially on iOS&#x2F;iPadOS.",,muddi900,,1668494768,2022-11-15 06:46:08 UTC,comment,33606050,33601795,,,
,,"I don&#x27;t mean this to come off as insensitive but having a pipeline conversion of 10% on both steps of the process feels quite low to me. Both numbers are very different from my own experience: with a &#x27;true FAANG&#x27; name on resume, the application to interview rate should be more around 50-90%. For interview-&gt;offer, if you grind out system design and LeetCode, you can get to 40-75%. These numbers are quite attainable for junior&#x2F;mid-level&#x2F;senior roles, though there is more variability &#x2F; poorer predictability for staff-level roles.<p>Speaking from experience as well as the experience of former colleagues. Of course, you may find that you don&#x27;t want to grind out prep to increase the latter conversion, which is also fine. Just wanted to provide another data point.",,type-r,,1668494797,2022-11-15 06:46:37 UTC,comment,33606053,33598246,,,
,,"This reminds me of jan Misali&#x27;s analysis of Hangman (in fact the title is so similar that I&#x27;m inclined to believe that it&#x27;s definitely inspired despite not mentioning the video or Misali by name) [^1]. In any case, I&#x27;m obviously inclined to agree that they&#x27;re both weird games, and that the weirdness comes from their fundamental asymmetry. It definitely reminds me of a sort of ritualized play, where an asymmetry is &quot;artificially&quot; constructed for the purpose of being broken down. There&#x27;s a fictionalized power dynamic that gets produced, yet the erosion of this dynamic isn&#x27;t just the point, it&#x27;s often aided by the one in power (how many times have I given my friends hints or extra chances in both games).<p>&gt; It’s cooperative because everyone is ultimately working toward a common goal: deducing the answer<p>I think this point gets pretty close to why these games are fun or interesting to begin with. I don&#x27;t think it&#x27;s necessarily because that they teach you about a person based on the object they choose or the guesses they make, but the fact that the game operates at all. In some sense it&#x27;s like a puzzle, but unlike a puzzle doesn&#x27;t just operate on its prima facie rules - because if you can&#x27;t solve a puzzle then that&#x27;s just too bad, but if 20 questions doesn&#x27;t end then something is off. In seems that 20 questions is interesting because there are social conventions within which it operates and playing by those conventions seems to demonstrate a social and emotional understanding that power dynamics within the relationship will be cooperatively undermined.<p>[^1]: <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;le5uGqHKll8"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;le5uGqHKll8</a>",,lofatdairy,,1668494796,2022-11-15 06:46:36 UTC,comment,33606052,33602716,,,
,,"&quot;Can you buy it at Target&quot; is a good one, I&#x27;ll try it next time.",,gaoryrt,,1668494806,2022-11-15 06:46:46 UTC,comment,33606054,33605898,,,
